Food,Carbohydrates,Protein,Fat,Sugar,Sodium,콜레스테롤,포화지방,트랜스지방,1회 제공량,Energy,분류
소고기버섯죽,109.03 ,18.75 ,7.40 ,0.26 ,1261.80 ,26.08 ,2.72 ,0.14 ,800.00 ,578.28 ,죽 및 스프류
치즈라면,80.00 ,16.80 ,23.03 ,0.90 ,2113.40 ,103.67 ,9.39 ,0.24 ,600.00 ,594.54 ,면 및 만두류
소고기육개장,20.82 ,21.91 ,18.77 ,0.54 ,2853.09 ,142.71 ,7.27 ,0.76 ,700.00 ,339.87,국 및 탕류
단무지무침,5.55 ,0.91 ,1.67 ,1.43 ,857.84 ,0.00 ,0.18 ,0.00 ,100.00 ,40.89 ,생채/무침류
닭고기구이,8.67 ,18.24 ,14.82 ,0.00 ,67.84 ,0.00 ,0.00 ,0.00 ,176.20 ,239.24 ,구이류
오이냉국,3.49 ,0.48 ,0.28 ,2.46 ,288.56 ,0.00 ,0.03 ,0.00 ,100.00 ,18.38 ,국 및 탕류
마늘쫑무침,8.52 ,0.82 ,0.25 ,4.56 ,415.03 ,0.28 ,0.05 ,0.00 ,30.00 ,39.56 ,생채/무침류
토마토소스스파게티,93.20 ,24.35 ,19.15 ,15.60 ,1508.63 ,49.17 ,5.44 ,0.21 ,500.00 ,642.58 ,면 및 만두류
꽃게탕,18.09 ,28.39 ,5.83 ,1.32 ,2247.58 ,212.81 ,0.85 ,0.03 ,600.00 ,238.39 ,국 및 탕류
장어덮밥,97.35 ,30.09 ,22.98 ,5.59 ,920.77 ,234.56 ,5.18 ,0.23 ,400.00 ,716.54 ,밥류
오곡밥,82.25 ,12.00 ,1.25 ,0.25 ,113.90 ,0.00 ,0.50 ,0.00 ,250.00 ,390.00 ,밥류
바지락조개국,10.12 ,22.05 ,3.11 ,1.32 ,1596.17 ,89.36 ,0.57 ,0.02 ,550.00 ,156.64 ,국 및 탕류
총각김치,2.82 ,1.16 ,0.30 ,0.79 ,337.76 ,0.90 ,0.06 ,0.00 ,50.00 ,18.63,김치류
호박죽,89.39 ,7.09 ,6.32 ,16.70 ,929.20 ,1.72 ,1.06 ,0.00 ,600.00 ,442.75,죽 및 스프류
소갈비찜,13.14 ,49.86 ,26.96 ,4.32 ,753.63 ,141.48 ,10.33 ,1.07 ,250.00 ,494.6,찜류
오일소스스파게티,89.42 ,19.56 ,23.43 ,1.41 ,1124.33 ,31.62 ,3.89 ,0.05 ,400.00 ,646.74 ,면 및 만두류
막국수,114.86 ,20.99 ,6.28 ,23.35 ,1503.04 ,64.43 ,1.56 ,0.03 ,550.00 ,599.91,면 및 만두류
모닝빵,29.83 ,5.33 ,6.39 ,13.48 ,213.04 ,5.33 ,2.13 ,0.00 ,70.00 ,202.39,빵 및 과자류
황태해장국,5.69 ,24.50 ,6.77 ,1.48 ,1533.09 ,150.30 ,1.11 ,0.02 ,600.00 ,181.7,국 및 탕류
미소된장국,1.84 ,1.88 ,1.90 ,0.48 ,344.69 ,0.00 ,0.14 ,0.00 ,100.00 ,25.61,국 및 탕류
바나나,21.94 ,1.10 ,0.10 ,14.63 ,0.00 ,0.00 ,0.04 ,0.00 ,100.00 ,79.00 ,과실류
